カテゴリ,ページ/ファイル名,パス,ファイルパス,主な機能・UI要素,コンポーネント/機能詳細,ステータス
出品者,出品履歴,/seller/items,pages/seller/ItemHistory.tsx,"出品履歴一覧","KPIカード（総出品数/落札数/総売上/平均落札価格）、タブフィルター（すべて/出品予定・審査中/落札済み/不落札・キャンセル）、検索バー、ステータスフィルター、出品テーブル（品種名/オークション/数量/開始価格/落札価格/ステータス/落札者）、詳細ボタン",完了
出品者,売上・精算,/seller/sales,pages/seller/SalesSettlement.tsx,"売上・精算管理","KPIカード（累計受取金額/累計売上/累計手数料/精算完了回数）、月別売上推移バーチャート（売上/受取金額）、振込先口座情報表示、変更リンク、次回精算予定（オークション/出品数/振込予定日）、精算履歴テーブル（オークション/出品数/売上/手数料/配送梱包費/受取金額/ステータス/振込日）、詳細ダイアログ（精算内訳/明細書ダウンロード）、CSV出力ボタン",完了
出品者,配送状況,/seller/shipping,pages/seller/Shipping.tsx,"配送管理","発送待ち一覧テーブル、落札者情報表示、配送先住所表示、伝票番号入力フォーム、発送完了ボタン、配送状況確認リンク",完了
出品者,出品者情報,/seller/profile,pages/seller/Profile.tsx,"プロフィール編集","基本情報（屋号/法人名/代表者名/事業者登録番号）、連絡先（メール/電話/住所）、口座情報（銀行名/支店/口座種別/番号/名義）、SNSアカウント（Instagram/その他）、オプション情報（販売チャネル/イベント出店歴/イベント開催歴/店舗住所）、備考欄（まじりあり/生後○ヶ月など）、保存ボタン",完了
参加者,ホーム,/participant/home,pages/participant/Home.tsx,"参加者トップページ","お知らせバナー、開催中オークションカード（参加ボタン）、開催予定オークションカード、過去のオークション履歴",完了
参加者,オークションライブ,/participant/auction/:auctionId/live,pages/participant/AuctionLive.tsx,"ライブ入札画面","商品画像/動画表示、品種名/数量表示、現在価格表示（リアルタイム更新）、入札履歴リスト、入札ボタン（価格増分選択）、残り時間表示、最高入札者表示",完了
参加者,落札商品一覧,/participant/won-items,pages/participant/WonItems.tsx,"落札商品管理","落札商品カード一覧、商品情報表示（品種/数量/落札価格）、出品者情報表示、決済ステータス、配送ステータス、配送状況確認ボタン（ヤマト追跡ページリンク）、伝票番号表示",完了
レイアウト,管理者レイアウト,-,layouts/AdminLayout.tsx,"管理者共通レイアウト","サイドバー（ロゴ画像/メインメニュー/ユーザー管理メニュー/AI・分析メニュー）、メニュー折りたたみ、選択状態ハイライト、ヘッダー（検索バー/通知アイコン/ユーザーアバター）、ログアウト、レスポンシブ対応（モバイルドロワー）",完了
レイアウト,出品者レイアウト,-,layouts/SellerLayout.tsx,"出品者共通レイアウト","サイドバー（ロゴ画像/メインメニュー/アカウントメニュー）、選択状態ハイライト、ヘッダー（出品者バッジ/ヘルプ/通知）、ユーザープロファイル表示、ログアウト、レスポンシブ対応",完了
レイアウト,参加者レイアウト,-,layouts/ParticipantLayout.tsx,"参加者共通レイアウト","ヘッダー（ロゴ画像/ナビゲーション/通知/ユーザーメニュー）、ログアウト、レスポンシブ対応",完了
設定,テーマ設定,-,theme.ts,"MUIテーマ設定","カラーパレット（primary: ダークネイビー/secondary: エメラルドグリーン/success/warning/error）、タイポグラフィ（DM Sans/Noto Sans JP）、コンポーネントデフォルトスタイル（Button/Card/Paper/TextField等）、シャドウ設定、ボーダーラディウス",完了
設定,ルーティング,-,App.tsx,"ルート定義","認証ルート（/login, /register）、管理者ルート（/admin/*）、出品者ルート（/seller/*）、参加者ルート（/participant/*）、リダイレクト設定、ユーザータイプ別振り分け",完了
設定,エントリーポイント,-,main.tsx,"アプリ初期化","React DOM レンダリング、ThemeProvider設定、CssBaseline適用",完了
設定,型定義,-,types/index.ts,"TypeScript型定義","User型、Auction型、Item型、ItemMedia型、Lane型、Bid型、WonItem型、Announcement型、SystemSettings型",完了
